iter	MultiClass
0	1.785922821
1	1.780636607
2	1.77542956
3	1.771308329
4	1.768380509
5	1.765147057
6	1.76188577
7	1.758828712
8	1.755632851
9	1.7529068
10	1.75058173
11	1.748940939
12	1.746715424
13	1.744399241
14	1.742228151
15	1.740372758
16	1.738563521
17	1.737311244
18	1.735799541
19	1.734510439
20	1.733311613
21	1.731369642
22	1.730094935
23	1.728810854
24	1.727436465
25	1.726260365
26	1.725183937
27	1.72374534
28	1.72261374
29	1.720973307
30	1.719610104
31	1.718150455
32	1.717377879
33	1.716229559
34	1.715425707
35	1.714129793
36	1.713093081
37	1.711876981
38	1.710830725
39	1.709609495
40	1.707769367
41	1.706807763
42	1.705547267
43	1.70452937
44	1.703276869
45	1.701854749
46	1.700167742
47	1.69898288
48	1.697976597
49	1.696550339
50	1.695622039
51	1.694228795
52	1.693073895
53	1.691672613
54	1.690136996
55	1.688953356
56	1.687879492
57	1.686426545
58	1.685290432
59	1.684195416
60	1.683205201
61	1.682173249
62	1.681148189
63	1.680109953
64	1.679024064
65	1.67786108
66	1.676845676
67	1.675759821
68	1.674885841
69	1.673566679
70	1.672500067
71	1.671515502
72	1.670455035
73	1.669478059
74	1.667992543
75	1.666703665
76	1.665775418
77	1.664449142
78	1.663765086
79	1.662405648
80	1.661203592
81	1.66015175
82	1.658710615
83	1.657577016
84	1.656516941
85	1.654834053
86	1.653899354
87	1.652803071
88	1.651388421
89	1.650304952
90	1.649365691
91	1.648331848
92	1.647176193
93	1.646101755
94	1.645181389
95	1.644179088
96	1.642649189
97	1.641276131
98	1.640286927
99	1.638919423
100	1.63760494
101	1.636454125
102	1.635208932
103	1.633770746
104	1.632914445
105	1.631632278
106	1.630601193
107	1.629401535
108	1.628292537
109	1.6274268
110	1.625855003
111	1.624875932
112	1.623941125
113	1.622887839
114	1.621680994
115	1.620638093
116	1.619546452
117	1.618215725
118	1.617184591
119	1.616221139
120	1.615212441
121	1.614029197
122	1.612888614
123	1.611705695
124	1.610806137
125	1.609654971
126	1.608701674
127	1.607648311
128	1.606685321
129	1.605628037
130	1.604772592
131	1.603686168
132	1.602403808
133	1.600551692
134	1.599583546
135	1.598225739
136	1.597435677
137	1.596617186
138	1.595297148
139	1.594399819
140	1.592973832
141	1.591897214
142	1.591012799
143	1.590026193
144	1.588628321
145	1.587554075
146	1.586467252
147	1.585119867
148	1.584051394
149	1.582740928
150	1.581589357
151	1.580234451
152	1.578902397
153	1.577818038
154	1.576481029
155	1.575607139
156	1.57438764
157	1.573362686
158	1.572287096
159	1.570751536
160	1.569634861
161	1.568554224
162	1.567585663
163	1.566612431
164	1.565336719
165	1.564542867
166	1.5639562
167	1.562921173
168	1.562179647
169	1.560743709
170	1.559557734
171	1.558324787
172	1.557060483
173	1.555998197
174	1.555035277
175	1.553762101
176	1.552414123
177	1.551290314
178	1.550199758
179	1.54899042
180	1.548209366
181	1.547464679
182	1.546558253
183	1.545628924
184	1.544562928
185	1.543833964
186	1.542802935
187	1.541821048
188	1.540829135
189	1.539771612
190	1.538667142
191	1.537868358
192	1.536547625
193	1.535567839
194	1.534655312
195	1.534083967
196	1.533000521
197	1.531759848
198	1.530622464
199	1.529620293
200	1.528503023
201	1.527755026
202	1.526954408
203	1.526178229
204	1.524945402
205	1.524109271
206	1.523125504
207	1.522097179
208	1.52101369
209	1.52016666
210	1.518995216
211	1.517678975
212	1.516388694
213	1.515481517
214	1.514609238
215	1.513647733
216	1.51238483
217	1.511133595
218	1.509957086
219	1.508666493
220	1.507807442
221	1.507028305
222	1.505479616
223	1.504475034
224	1.503244124
225	1.502371069
226	1.501323639
227	1.500322785
228	1.499564181
229	1.498356244
230	1.497552329
231	1.496512002
232	1.495649751
233	1.494758876
234	1.493686793
235	1.492669433
236	1.491504217
237	1.490626051
238	1.489704548
239	1.488641341
240	1.487851737
241	1.486866447
242	1.485938417
243	1.48493402
244	1.483921206
245	1.483267285
246	1.482392316
247	1.481500598
248	1.480372947
249	1.479592784
250	1.478959836
251	1.477631197
252	1.476161111
253	1.475456377
254	1.474442786
255	1.473219591
256	1.472351574
257	1.471106507
258	1.47032619
259	1.469544722
260	1.468500439
261	1.467218902
262	1.466150823
263	1.465144032
264	1.464263059
265	1.463395826
266	1.462813442
267	1.462043938
268	1.46119518
269	1.460022675
270	1.458688968
271	1.457630536
272	1.456714161
273	1.455839456
274	1.454624437
275	1.453485007
276	1.45249964
277	1.451323114
278	1.450548379
279	1.449851677
280	1.448983726
281	1.448150577
282	1.447332076
283	1.446372482
284	1.445488141
285	1.444437924
286	1.443299531
287	1.442605148
288	1.441367007
289	1.440388909
290	1.439380916
291	1.438585621
292	1.437738382
293	1.436822498
294	1.435867767
295	1.43492114
296	1.433801607
297	1.432797111
298	1.431584473
299	1.430656038
300	1.429835613
301	1.428969809
302	1.428040137
303	1.426911645
304	1.425882479
305	1.424890342
306	1.424202261
307	1.423263706
308	1.422112517
309	1.42113143
310	1.420036349
311	1.418897191
312	1.418091944
313	1.417132887
314	1.416001009
315	1.414755092
316	1.414056357
317	1.413025625
318	1.411908849
319	1.410932963
320	1.410385313
321	1.409677766
322	1.408653539
323	1.407590633
324	1.406942246
325	1.405930121
326	1.405062299
327	1.404188608
328	1.403483493
329	1.402719873
330	1.401799179
331	1.400914049
332	1.39999485
333	1.399105476
334	1.398167854
335	1.397201828
336	1.396227958
337	1.395445481
338	1.39449909
339	1.39366386
340	1.392668226
341	1.39173813
342	1.390724846
343	1.389715614
344	1.388633032
345	1.387966184
346	1.387100983
347	1.386202706
348	1.385382767
349	1.384532305
350	1.383610549
351	1.382549586
352	1.381851873
353	1.381101793
354	1.380206806
355	1.379403038
356	1.378425633
357	1.377528852
358	1.376687012
359	1.3756987
360	1.374959278
361	1.374134768
362	1.373106525
363	1.372162345
364	1.371102429
365	1.370270742
366	1.369434809
367	1.368567789
368	1.367732179
369	1.366829873
370	1.36624383
371	1.365566416
372	1.364557913
373	1.363740762
374	1.362856296
375	1.36178114
376	1.360987547
377	1.360177324
378	1.359305352
379	1.358246046
380	1.357299503
381	1.35675592
382	1.356339804
383	1.355116302
384	1.354191799
385	1.353166772
386	1.352221789
387	1.351342698
388	1.350618743
389	1.349693519
390	1.349045981
391	1.347830456
392	1.347130478
393	1.346178677
394	1.345429925
395	1.344706657
396	1.344006341
397	1.342995409
398	1.342203591
399	1.340887955
400	1.340117145
401	1.339077029
402	1.33829643
403	1.337444275
404	1.336394882
405	1.335394559
406	1.334418886
407	1.333568018
408	1.332511488
409	1.331786967
410	1.330741671
411	1.329833568
412	1.329044378
413	1.328196163
414	1.327304738
415	1.326451772
416	1.32564255
417	1.32464703
418	1.323577441
419	1.322852966
420	1.321920847
421	1.321122416
422	1.320363547
423	1.319667972
424	1.319046424
425	1.318137596
426	1.317284151
427	1.316020808
428	1.315089431
429	1.31452684
430	1.313565967
431	1.31286469
432	1.312097347
433	1.311169319
434	1.310442342
435	1.309696795
436	1.308881797
437	1.308050885
438	1.307116491
439	1.306493294
440	1.305502793
441	1.30451154
442	1.303725821
443	1.303220803
444	1.302427266
445	1.301657073
446	1.300776498
447	1.299895267
448	1.298961687
449	1.298093591
450	1.297278306
451	1.296453204
452	1.295431866
453	1.294526152
454	1.29369727
455	1.293017282
456	1.292287898
457	1.291458603
458	1.290723096
459	1.289795382
460	1.289104325
461	1.288241239
462	1.287279366
463	1.28637338
464	1.285823734
465	1.285110159
466	1.284315228
467	1.283390954
468	1.282482082
469	1.28168678
470	1.280780505
471	1.280144549
472	1.279481523
473	1.27879215
474	1.277932446
475	1.277261044
476	1.276282408
477	1.275529801
478	1.27461021
479	1.273961522
480	1.273353638
481	1.272641319
482	1.271940195
483	1.270984408
484	1.269985252
485	1.269080399
486	1.268124914
487	1.267053272
488	1.266287685
489	1.26543728
490	1.264631401
491	1.26380507
492	1.262961622
493	1.262028546
494	1.261256458
495	1.260476909
496	1.259636545
497	1.258767931
498	1.257911621
499	1.257036148
500	1.256510494
501	1.255770781
502	1.254871746
503	1.253777144
504	1.253077251
505	1.252140707
506	1.251403963
507	1.250527859
508	1.249551143
509	1.249035123
510	1.248268171
511	1.247597856
512	1.247072606
513	1.246052483
514	1.245082815
515	1.244232015
516	1.243453204
517	1.242566537
518	1.241533095
519	1.240951045
520	1.240193244
521	1.239544815
522	1.238661826
523	1.237821136
524	1.237150803
525	1.236321635
526	1.235591323
527	1.234713001
528	1.234041588
529	1.233274249
530	1.23274957
531	1.232153325
532	1.23137958
533	1.230429126
534	1.229723762
535	1.228848811
536	1.227863911
537	1.227311185
538	1.226431539
539	1.225731794
540	1.22511312
541	1.224160561
542	1.223362566
543	1.222553135
544	1.221652174
545	1.220588795
546	1.219943978
547	1.218879626
548	1.21826403
549	1.217475775
550	1.216482619
551	1.215523853
552	1.214575433
553	1.213865289
554	1.213217883
555	1.212547239
556	1.211783855
557	1.211072831
558	1.210253642
559	1.209754786
560	1.209127916
561	1.208344809
562	1.207463974
563	1.206871175
564	1.20615789
565	1.205506291
566	1.205028694
567	1.204161024
568	1.203333754
569	1.202772757
570	1.202290749
571	1.201609982
572	1.200613636
573	1.199940007
574	1.199258282
575	1.198421576
576	1.198066774
577	1.197311212
578	1.196484394
579	1.195679725
580	1.194968996
581	1.194280596
582	1.193596953
583	1.192777224
584	1.192149094
585	1.191255822
586	1.190264352
587	1.189388814
588	1.188753533
589	1.188158433
590	1.187266584
591	1.186392284
592	1.185704211
593	1.184922951
594	1.184172644
595	1.183499171
596	1.182600652
597	1.182121993
598	1.181468972
599	1.180721165
600	1.180120122
601	1.179220516
602	1.17858016
603	1.177965416
604	1.177197401
605	1.176367372
606	1.175618588
607	1.174965088
608	1.173914333
609	1.173283083
610	1.172504348
611	1.171941111
612	1.171200726
613	1.170398538
614	1.169689108
615	1.168556569
616	1.167733287
617	1.166879845
618	1.166057851
619	1.165375885
620	1.164330123
621	1.163569484
622	1.162842842
623	1.162246452
624	1.16152962
625	1.161058273
626	1.160245548
627	1.159398319
628	1.15888432
629	1.158125751
630	1.157209172
631	1.156515636
632	1.155861141
633	1.155300176
634	1.154700118
635	1.153836369
636	1.152938692
637	1.152244326
638	1.151661595
639	1.150957311
640	1.150436897
641	1.149727541
642	1.149062612
643	1.14810738
644	1.147454187
645	1.146848924
646	1.146358411
647	1.145837146
648	1.145249414
649	1.144801443
650	1.144060334
651	1.143303851
652	1.142453555
653	1.141880623
654	1.141140333
655	1.140355586
656	1.139460318
657	1.138636931
658	1.137947081
659	1.136969399
660	1.136248861
661	1.135443798
662	1.134778865
663	1.134061869
664	1.133301441
665	1.132570691
666	1.131949818
667	1.131289728
668	1.130717927
669	1.129823273
670	1.129121766
671	1.128525124
672	1.127958864
673	1.127381719
674	1.126799378
675	1.126063959
676	1.125449265
677	1.124892711
678	1.124241462
679	1.123510205
680	1.123033567
681	1.122369702
682	1.121892419
683	1.121073214
684	1.120499426
685	1.119872976
686	1.119126236
687	1.11841588
688	1.117742974
689	1.116969384
690	1.116412519
691	1.115768994
692	1.115002747
693	1.114419237
694	1.113549646
695	1.112863299
696	1.112016232
697	1.11100838
698	1.110334038
699	1.109745155
700	1.108946997
701	1.108184992
702	1.107562929
703	1.10681918
704	1.106035695
705	1.105467813
706	1.104629904
707	1.104105776
708	1.103516778
709	1.103003578
710	1.102269662
711	1.101678356
712	1.1011136
713	1.100475763
714	1.099921711
715	1.098950893
716	1.098196297
717	1.097373783
718	1.09705105
719	1.096215546
720	1.095640838
721	1.094873483
722	1.094215617
723	1.093598726
724	1.092850038
725	1.092073911
726	1.091328756
727	1.090612333
728	1.089756055
729	1.089105926
730	1.08838988
731	1.08778065
732	1.087191516
733	1.086588633
734	1.085809525
735	1.085218033
736	1.084615929
737	1.084188771
738	1.083462828
739	1.082729699
740	1.082111563
741	1.081415255
742	1.080729317
743	1.080139701
744	1.079509944
745	1.078914089
746	1.078311897
747	1.077729705
748	1.077286876
749	1.076730712
750	1.075958159
751	1.075158462
752	1.074635529
753	1.074100729
754	1.073436152
755	1.072885224
756	1.072331117
757	1.071712522
758	1.070869148
759	1.070164203
760	1.06964755
761	1.068942838
762	1.068422952
763	1.067570788
764	1.066849825
765	1.066158376
766	1.06552806
767	1.064914887
768	1.064252579
769	1.063545424
770	1.062789486
771	1.06215753
772	1.061421136
773	1.060634036
774	1.059917375
775	1.059247977
776	1.058606739
777	1.058002688
778	1.057320625
779	1.056697667
780	1.056163147
781	1.055392228
782	1.054739011
783	1.054075643
784	1.053523894
785	1.052788301
786	1.052163131
787	1.051657528
788	1.050945962
789	1.050520103
790	1.049948111
791	1.0490761
792	1.048510855
793	1.047943013
794	1.04750659
795	1.046988829
796	1.046353249
797	1.045729661
798	1.045045918
799	1.044296943
